Model,Validation MSE,Test MSE,Validation R^2,Test R^2
Linear Regression,0.6784841884351217,0.13527403322201947,-3.2106153760748617,0.173980349474819
Lasso Regression,4.4911255080405255,0.15428804347815173,-26.87154430769129,0.057875685979829616
Ridge Regression,0.6779386372367764,0.13527356100739032,-3.207229731570033,0.17398323294442253
Random Forest Regression,0.038462007542412135,0.03968148929631363,0.7613080406098899,0.7576941476486986
